"Positions for account Roth Contributory IRA ...429 as of 01:23 PM ET, 2025/12/15"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Security Type",
"CSCO","CISCO SYS INC","5","$78.41","$0.61","0.78%","$392.05","$3.05","0.78%","$349.60","$42.45","12.14%","Yes","N/A","Equity",
"DIS","DISNEY WALT CO","6","$110.67","-$0.18","-0.16%","$664.02","-$1.08","-0.16%","$670.98","-$6.96","-1.04%","Yes","N/A","Equity",
"GOOG","ALPHABET INC CLASS CLASS C","10.0068","$307.51","-$3.02","-0.97%","$3,077.14","-$30.17","-0.97%","$2,470.00","$605.05","24.5%","Yes","N/A","Equity",
"LULU","LULULEMON ATHLETICA INC","7","$206.00","$1.03","0.5%","$1,441.99","$7.20","0.5%","$1,212.89","$229.10","18.89%","Yes","N/A","Equity",
"SFM","SPROUTS FMRS MKT INC","12","$80.51","$0.97","1.22%","$966.12","$11.64","1.22%","$1,236.79","-$270.67","-21.88%","Yes","N/A","Equity",
"TGT","TARGET CORP EQUITY CLASS EQUITY","8.1003","$97.56","$0.47","0.48%","$790.27","$3.81","0.48%","$735.92","$54.35","7.39%","Yes","N/A","Equity",
"UBER","UBER TECHNOLOGIES INC","9","$82.61","-$2.50","-2.94%","$743.45","-$22.54","-2.94%","$839.45","-$96.00","-11.44%","Yes","N/A","Equity",
"UPS","UNITED PARCEL SVC INC CLASS CLASS B","7.1195","$100.28","-$0.64","-0.64%","$713.92","-$4.58","-0.64%","$619.22","$94.70","15.29%","Yes","N/A","Equity",
"SCHD","SCHWAB US DIVIDEND EQUITY ETF","37.3709","$27.68","$0.00","0%","$1,034.43","$0.00","0%","$1,006.03","$18.13","1.8%","Yes","N/A","ETFs & Closed End Funds",
"WASYX","NOMURA ASSET STRATEGY FUND Y","795.064","$22.54","N/A","N/A","$17,920.74","N/A","N/A","$17,675.93","$244.81","1.38%","Yes","Yes","Mutual Fund",
"Cash & Cash Investments","--","--","--","--","--","$121.64","$0.00","0%","--","--","--","--","--","Cash and Money Market",
"Account Total","","--","--","--","--","$27,865.77","-$32.67","-0.12%","$26,816.81","$914.96","3.41%","--","--","--",
